client_id,birthdate,state,gender
cx01304,1954-04-14,st15,cg1
cx34222,1963-03-30,st15,cg2
cx32322,1987-02-10,st15,cg1
cx38801,1964-07-29,st15,cg2
cx23769,1967-03-12,st25,cg2
cx00622,1953-10-24,st15,cg2
cx13624,1955-09-19,st15,cg1
cx25982,1965-07-20,st25,cg2
cx12185,1966-10-22,st15,cg2
cx22390,1974-09-06,st15,cg2
cx13434,1962-03-25,st25,cg2
cx23288,1974-03-23,st15,cg1
cx03936,1963-07-30,st15,cg1
cx36075,1946-01-29,st15,cg2
cx34496,1963-11-20,st15,cg1
cx00014,1964-02-28,st25,cg1
cx07610,1975-08-01,st25,cg2
cx05220,1963-08-13,st15,cg1
cx12436,1949-04-21,st25,cg2
cx23877,1972-03-16,st15,cg1
cx32439,1963-04-09,st15,cg2
cx22927,1958-10-03,st18,cg2
cx16861,1964-06-08,st15,cg1
cx08902,1959-09-23,st15,cg1
cx06934,1978-09-19,st02,cg1
cx15047,1958-01-11,st15,cg1
cx02301,1966-06-06,st15,cg1
cx23009,1963-02-26,st15,cg1
cx06833,1987-04-14,st02,cg1
cx35793,1956-09-04,st15,cg1
cx33272,1963-02-02,st25,cg2
cx21859,1964-10-09,st15,cg2
cx22217,1951-07-28,st15,cg2
cx14130,1966-07-18,st15,cg2
cx00968,1970-02-23,st15,cg2
cx36097,1948-07-10,st15,cg2
cx22499,1970-12-21,st15,cg1
cx26883,1960-08-30,st25,cg2
cx07338,1970-01-08,st15,cg1
cx07577,1963-05-10,st15,cg2
cx38274,1966-02-27,st25,cg2
cx38217,1970-11-08,st15,cg2
cx07556,1974-07-19,st15,cg1
cx19785,1964-01-18,st15,cg2
cx34996,1965-11-08,st15,cg1
cx13261,1967-10-27,st25,cg1
cx02758,1968-06-02,st15,cg1
cx08023,1972-11-13,st15,cg1
cx35624,1964-11-26,st15,cg2
cx38243,1944-12-11,st15,cg1
cx26707,1961-11-30,st15,cg2
cx11964,1980-04-22,st25,cg1
cx31543,1943-05-24,st04,cg2
cx37281,1959-08-01,st15,cg1
cx12028,1955-01-01,st25,cg2
cx30839,1976-05-08,st25,cg2
cx33895,1968-09-25,st15,cg1
cx26978,1948-04-03,st15,cg1
cx20215,1964-10-20,st15,cg2
cx01830,1965-08-02,st15,cg1
cx06435,1968-09-20,st15,cg1
cx25701,1963-02-09,st15,cg1
cx31724,1963-08-05,st15,cg1
cx22534,1967-03-03,st15,cg1
cx38138,1968-02-15,st15,cg2
cx09551,1967-06-08,st15,cg1
cx33812,1968-10-19,st25,cg2
cx13954,1962-09-06,st15,cg1
cx21714,1955-05-14,st15,cg2
cx05342,1958-05-19,st15,cg1
cx24243,1974-03-31,st15,cg2
cx08048,1985-08-12,st15,cg1
cx00397,1949-03-22,st15,cg2
cx20657,1967-09-23,st15,cg1
cx20668,1967-07-13,st15,cg2
cx04450,1955-06-21,st15,cg2
cx23037,1969-12-10,st15,cg2
cx24521,1964-07-05,st15,cg1
cx32181,1973-10-21,st15,cg1
cx29594,1951-03-07,st21,cg1
cx17723,1958-04-12,st15,cg1
cx26428,1960-07-10,st15,cg1
cx37599,1963-10-06,st25,cg2
cx23439,1958-11-16,st15,cg1
cx00929,1960-06-25,st15,cg1
cx15277,1958-11-19,st15,cg1
cx15349,1966-01-15,st15,cg1
cx29406,1956-06-15,st15,cg1
cx11128,1964-06-14,st15,cg2
cx02609,1956-01-06,st15,cg1
cx35364,1960-08-31,st25,cg1
cx36179,1971-12-13,st15,cg1
cx04651,1970-05-17,st25,cg1
cx05326,1980-01-31,st21,cg1
cx35322,1952-06-26,st15,cg2
cx36771,1951-02-17,st15,cg1
cx21004,1961-05-15,st25,cg1
cx26921,1980-02-25,st21,cg1
cx37413,1964-01-18,st21,cg2
cx28131,1981-11-29,st21,cg1
cx28164,1959-12-09,st15,cg1
cx23163,1974-09-21,st15,cg2
cx27687,1975-01-21,st21,cg2
cx03827,1972-09-28,st15,cg1
cx33170,1973-01-10,st15,cg1
cx26284,1965-01-17,st15,cg2
cx14400,1968-01-30,st25,cg1
cx00278,1959-04-01,st15,cg2
cx34599,1956-10-01,st25,cg2
cx25083,1975-06-16,st25,cg1
cx12745,1953-07-28,st15,cg1
cx08587,1958-09-09,st25,cg1
cx36864,1965-08-14,st21,cg1
cx27457,1973-07-05,st15,cg1
cx26960,1957-12-12,st15,cg2
cx31956,1968-01-19,st25,cg1
cx31303,1970-12-29,st15,cg1
cx13608,1957-11-21,st15,cg1
cx07795,1963-10-18,st25,cg1
cx15768,1965-09-19,st15,cg2
cx07893,1964-04-02,st15,cg2
cx27344,1970-04-01,st15,cg2
cx18054,1977-09-22,st25,cg1
cx06516,1955-11-15,st25,cg1
cx07652,1952-11-04,st15,cg1
cx38753,1976-11-22,st15,cg1
cx18128,1975-05-14,st15,cg2
cx33223,1966-05-16,st25,cg1
cx26955,1971-01-14,st25,cg2
cx01053,1975-05-17,st15,cg1
cx01912,1951-09-15,st25,cg2
cx12597,1963-01-28,st15,cg1
cx20729,1969-11-20,st15,cg1
cx16802,1975-04-16,st15,cg2
cx13633,1955-04-22,st21,cg1
cx12408,1976-12-01,st15,cg2
cx11053,1976-01-23,st25,cg1
cx22414,1968-11-02,st15,cg1
cx22595,1965-02-23,st15,cg1
cx34458,1959-03-24,st25,cg2
cx15487,1960-09-26,st25,cg1
cx14849,1982-07-16,st15,cg1
cx28897,1974-11-06,st15,cg1
cx08708,1968-02-06,st15,cg1
cx25125,1952-07-05,st21,cg2
cx16550,1952-03-26,st15,cg2
cx17984,1952-10-28,st15,cg1
cx10232,1962-11-24,st25,cg1
cx04700,1978-07-03,st21,cg1
cx30017,1980-03-30,st08,cg2
cx17688,1965-09-12,st15,cg1
cx19352,1962-05-12,st15,cg1
cx14439,1976-07-09,st25,cg1
cx23375,1936-03-18,st25,cg2
cx26403,1963-01-30,st25,cg1
cx00466,1966-11-01,st15,cg2
cx32314,1955-09-19,st15,cg1
cx10227,1972-08-19,st15,cg1
cx11467,1958-05-18,st15,cg2
cx38482,1949-12-29,st21,cg1
cx13659,1963-07-06,st15,cg1
cx02555,1938-03-09,st15,cg2
cx30594,1972-06-20,st15,cg2
cx32362,1964-06-06,st15,cg2
cx31574,1960-02-16,st15,cg1
cx16819,1976-11-12,st15,cg1
cx04046,1948-08-25,st15,cg2
cx35707,1974-04-21,st15,cg2
cx02139,1965-11-23,st15,cg1
cx09862,1958-04-01,st15,cg1
cx25063,1950-05-17,st25,cg2
cx37126,1963-12-12,st15,cg1
cx02134,1966-12-22,st25,cg2
cx21598,1962-12-31,st25,cg1
cx35319,1968-10-30,st25,cg1
cx05743,1964-01-13,st15,cg2
cx38428,1970-12-28,st15,cg2
cx10602,1962-05-21,st15,cg1
cx09929,1952-04-15,st25,cg1
cx30214,1971-07-22,st15,cg1
cx21764,1967-07-08,st15,cg2
cx37174,1965-09-08,st15,cg1
cx24535,1981-08-20,st21,cg1
cx25624,1956-09-18,st15,cg1
cx06276,1971-11-03,st15,cg2
cx27283,1976-06-30,st25,cg2
cx03738,1974-03-08,st21,cg2
cx22063,1971-06-06,st25,cg2
cx26780,1959-09-11,st25,cg1
cx24166,1978-03-30,st15,cg1
cx36486,1961-06-26,st25,cg1
cx17599,1961-12-19,st15,cg1
cx34671,1945-05-14,st25,cg2
cx21507,1967-05-21,st15,cg1
cx09059,1951-05-18,st15,cg1
cx13650,1952-08-05,st15,cg1
cx27900,1990-01-01,st25,cg2
cx13913,1977-12-09,st15,cg2
cx16799,1952-10-24,st25,cg1
cx23171,1967-07-24,st15,cg1
cx26660,1969-02-20,st25,cg1
cx17627,1968-10-17,st15,cg2
cx11271,1940-10-02,st21,cg2
cx08212,1961-09-08,st21,cg1
cx14161,1972-04-23,st21,cg1
cx11471,1967-06-18,st21,cg1
cx19627,1975-05-18,st21,cg1
cx03876,1967-06-17,st21,cg2
cx36416,1956-03-10,st21,cg1
cx30236,1978-08-04,st15,cg1
cx30340,1975-05-10,st15,cg1
cx14184,1946-08-14,st15,cg1
cx23949,1975-09-10,st21,cg1
cx27314,2000-03-27,st15,cg1
cx12139,1964-08-01,st21,cg1
cx13695,1954-01-19,st15,cg2
cx12638,1944-07-06,st15,cg1
cx14613,1953-12-11,st15,cg1
cx08687,1963-04-12,st08,cg1
cx10920,1958-03-27,st15,cg1
cx16306,1955-11-27,st21,cg2
cx14421,1969-12-20,st25,cg2
cx25250,1956-05-12,st15,cg2
cx37794,1964-09-08,st15,cg1
cx13034,1977-11-15,st15,cg2
cx11061,1952-12-03,st15,cg1
cx06391,1949-09-08,st21,cg1
cx22172,1979-08-23,st15,cg1
cx09017,1961-06-06,st15,cg1
cx29628,1957-01-19,st15,cg1
cx24007,1948-01-16,st15,cg1
cx15309,1947-03-05,st21,cg1
cx16658,1953-05-05,st15,cg2
cx20491,1964-10-21,st25,cg1
cx24089,1986-09-03,st21,cg1
cx16616,1968-09-18,st21,cg1
cx08148,1967-02-19,st21,cg2
cx29344,1966-12-09,st25,cg1
cx09903,1971-09-25,st15,cg1
cx13809,1975-06-21,st15,cg2
cx34238,1954-11-09,st15,cg1
cx10428,1975-10-16,st15,cg1
cx28607,1983-11-28,st08,cg1
cx33866,1955-07-24,st15,cg1
cx21978,1968-01-04,st15,cg2
cx32351,1976-07-02,st15,cg1
cx35001,1953-07-27,st15,cg1
cx03002,1943-08-15,st15,cg1
cx17527,1961-01-22,st25,cg1
cx20008,1978-04-01,st15,cg1
cx24081,1987-12-22,st15,cg2
cx20073,1954-02-18,st21,cg1
cx31263,1956-12-17,st25,cg1
cx07071,1946-10-27,st25,cg1
cx26448,1953-07-25,st24,cg1
cx14687,1941-01-12,st15,cg2
cx21588,1946-12-03,st21,cg1
cx05389,1969-07-26,st15,cg2
cx31879,1947-05-21,st15,cg1
cx03278,1976-02-17,st04,cg1
cx19721,1967-10-08,st21,cg2
cx10116,1981-05-18,st21,cg2
cx29251,1973-11-01,st21,cg1
cx16852,1958-02-12,st21,cg2
cx31850,1971-07-06,st21,cg1
cx02916,1966-01-13,st15,cg2
cx23836,1963-10-09,st21,cg2
cx35027,1982-01-19,st21,cg1
cx36161,1955-01-20,st21,cg1
cx37783,1959-08-20,st15,cg1
cx24433,1976-11-01,st21,cg1
cx06586,1976-04-20,st21,cg2
cx04922,1973-10-03,st21,cg2
cx33590,1951-11-24,st21,cg2
cx22717,1982-09-17,st21,cg2
cx00076,1954-02-26,st21,cg1
cx35513,1963-05-03,st21,cg2
cx33912,1955-07-23,st21,cg1
cx33856,1972-04-12,st21,cg2
cx00709,1978-03-01,st21,cg1
cx23234,1947-07-27,st21,cg1
cx27102,1962-12-19,st21,cg1
cx25625,1948-10-11,st21,cg1
cx33209,1981-09-10,st21,cg1
cx19145,1976-04-21,st08,cg1
cx02526,1980-01-06,st15,cg1
cx16187,1975-07-18,st21,cg1
cx29208,1979-08-12,st21,cg1
cx08117,1975-01-15,st15,cg1
cx00897,1959-08-25,st21,cg1
cx19502,1968-04-13,st15,cg2
cx06484,1962-02-20,st15,cg1
cx29871,1971-02-01,st21,cg1
cx05763,1980-07-15,st21,cg1
cx21813,1958-01-18,st25,cg2
cx25517,1970-02-15,st21,cg2
cx08405,1960-08-07,st25,cg1
cx17419,1956-12-14,st15,cg1
cx21841,1962-07-09,st21,cg1
cx22852,1974-04-10,st15,cg1
cx28654,1959-04-11,st21,cg1
cx06758,1958-01-25,st15,cg1
cx34261,1955-06-02,st21,cg2
cx13625,1984-08-27,st21,cg2
cx27670,1949-08-11,st25,cg1
cx04286,1970-05-22,st15,cg1
cx00252,1956-11-12,st15,cg2
cx37069,1971-06-18,st15,cg2
cx26683,1959-06-27,st15,cg1
cx37497,1957-12-28,st21,cg2
cx30570,1962-01-24,st21,cg2
cx33748,1967-08-27,st25,cg1
cx25205,1960-04-16,st25,cg1
cx02623,1943-10-04,st21,cg1
cx07603,1974-05-20,st15,cg1
cx34202,1960-02-04,st15,cg1
cx07687,1971-03-10,st15,cg1
cx18469,1944-04-25,st15,cg1
cx03357,1977-11-17,st15,cg1
cx34704,1948-11-18,st15,cg2
cx11417,1962-03-31,st08,cg2
cx25816,1978-02-05,st15,cg2
cx02542,1950-06-19,st21,cg1
cx30278,1950-08-23,st15,cg2
cx18680,1939-06-13,st21,cg1
cx31909,1975-07-20,st15,cg2
cx02744,1970-11-05,st15,cg1
cx16751,1969-08-24,st25,cg1
cx10677,1955-03-09,st08,cg2
cx24212,1978-05-17,st15,cg2
cx00084,1939-10-09,st02,cg2
cx00980,1976-05-31,st21,cg2
cx21322,1949-06-26,st08,cg1
cx33393,1974-11-25,st15,cg2
cx10595,1972-12-15,st09,cg1
cx23830,1984-07-03,st21,cg2
cx08649,1967-09-11,st15,cg1
cx22609,1978-10-24,st09,cg2
cx35833,1979-03-17,st15,cg1
cx03939,1968-02-27,st15,cg2
cx07021,1965-12-20,st15,cg1
cx22917,1954-09-07,st25,cg1
cx31634,1967-05-05,st25,cg1
cx17966,1971-11-07,st21,cg2
cx04446,1960-02-14,st21,cg1
cx24881,1976-10-06,st21,cg2
cx28086,1967-07-25,st15,cg2
cx11196,1934-01-22,st25,cg2
cx22343,1961-06-10,st25,cg1
cx34610,1972-12-20,st21,cg1
cx00610,1982-05-21,st22,cg1
cx16142,1960-07-09,st15,cg1
cx33229,1978-12-31,st15,cg1
cx05343,1945-07-01,st15,cg1
cx32847,1974-08-12,st15,cg1
cx10839,1973-07-01,st15,cg1
cx03220,1971-11-23,st15,cg2
cx05289,1961-06-08,st25,cg1
cx35044,1950-12-20,st15,cg2
cx26229,1951-06-26,st15,cg1
cx29853,1943-01-24,st15,cg2
cx18268,1969-11-09,st15,cg1
cx05887,1967-05-21,st15,cg1
cx24296,1979-06-17,st15,cg2
cx32226,1972-12-13,st08,cg2
cx15208,1969-11-15,st15,cg2
cx33134,1972-07-10,st21,cg2
cx01079,1968-02-11,st25,cg1
cx09634,1978-01-28,st15,cg1
cx20796,1943-12-08,st15,cg2
cx09563,1976-03-13,st15,cg2
cx25862,1972-08-30,st15,cg1
cx13595,1962-10-03,st15,cg1
cx08481,1955-04-03,st15,cg1
cx37097,1974-10-18,st21,cg1
cx37354,1979-02-14,st15,cg1
cx02465,1972-04-01,st15,cg1
cx26816,1952-06-18,st15,cg1
cx30695,1961-01-05,st15,cg2
cx09569,1966-10-09,st21,cg1
cx17260,1933-01-18,st15,cg1
cx06347,1960-11-02,st21,cg2
cx08724,1980-06-10,st25,cg1
cx05755,1979-01-13,st25,cg1
cx22368,1964-01-06,st15,cg2
cx11230,1955-06-30,st15,cg1
cx16177,1975-09-04,st15,cg1
cx36591,1979-11-30,st15,cg1
cx31390,1976-08-31,st15,cg2
cx07564,1976-10-09,st25,cg2
cx14795,1935-08-23,st25,cg1
cx36500,1974-07-30,st15,cg2
cx18650,1981-11-04,st15,cg1
cx03777,1972-10-01,st15,cg1
cx30122,1967-06-24,st15,cg2
cx20287,1979-10-15,st15,cg1
cx20753,1960-02-05,st15,cg1
cx30379,1960-06-20,st25,cg1
cx11213,1974-11-04,st18,cg1
cx14703,1959-02-28,st15,cg1
cx27219,1956-10-22,st15,cg2
cx07871,1966-05-15,st15,cg1
cx06736,1980-07-04,st25,cg1
cx12102,1974-12-02,st15,cg2
cx02533,1970-01-07,st15,cg1
cx11406,1979-04-01,st15,cg2
cx36285,1978-01-23,st15,cg2
cx10657,1961-03-02,st15,cg1
cx05596,1948-10-29,st21,cg1
cx24627,1953-03-05,st15,cg1
cx06900,1963-08-25,st15,cg2
cx02044,1949-07-31,st21,cg2
cx12080,1958-08-15,st25,cg1
cx03246,1950-07-14,st15,cg1
cx14315,1947-03-20,st25,cg1
cx14814,1960-01-07,st21,cg1
cx13658,1981-12-17,st15,cg1
cx26829,1950-02-24,st15,cg1
cx36047,1949-05-20,st15,cg1
cx28825,1980-05-16,st15,cg1
cx32758,1963-07-24,st15,cg1
cx31647,1967-09-15,st15,cg2
cx15855,1962-11-23,st15,cg1
cx23390,1960-09-06,st21,cg1
cx14152,1948-10-13,st15,cg1
cx32434,1960-07-19,st15,cg1
cx03064,1974-05-04,st15,cg2
cx25400,1983-02-01,st25,cg1
cx13054,1976-10-31,st25,cg1
cx28673,1948-01-17,st15,cg1
cx20611,1975-05-06,st25,cg1
cx35139,1972-01-30,st15,cg2
cx08611,1970-11-21,st25,cg1
cx19432,1977-01-11,st25,cg2
cx04218,1955-02-22,st15,cg1
cx37595,1980-05-11,st25,cg2
cx04057,1976-01-08,st25,cg1
cx05611,1962-11-16,st25,cg1
cx14645,1985-12-01,st25,cg2
cx21661,1982-09-27,st25,cg2
cx30999,1977-03-07,st25,cg2
cx35861,1951-01-17,st15,cg1
cx13406,1974-01-14,st15,cg2
cx30763,1960-09-24,st21,cg2
cx01890,1983-09-13,st04,cg2
cx25008,1968-05-24,st01,cg2
cx37897,1986-05-14,st25,cg1
cx18079,1985-10-19,st25,cg1
cx31614,1947-10-14,st04,cg1
cx37697,1956-11-10,st04,cg1
cx02443,1977-06-19,st04,cg1
cx08900,1973-06-18,st21,cg1
cx14417,1977-09-27,st21,cg1
cx01398,1968-06-17,st25,cg1
cx28872,1942-06-27,st15,cg2
cx21569,1951-04-14,st02,cg2
cx15017,1974-03-31,st15,cg1
cx31036,1989-04-16,st21,cg2
cx36711,1959-06-17,st08,cg2
cx20352,1960-01-30,st02,cg2
cx26160,1985-03-20,st15,cg1
cx05353,1961-05-25,st04,cg2
cx09734,1961-08-07,st04,cg1
cx05187,1965-07-02,st04,cg1
cx10690,1967-08-08,st02,cg2
cx15419,1971-12-24,st04,cg1
cx20367,1973-07-05,st02,cg2
cx26546,1980-06-11,st25,cg1
cx06552,1975-12-31,st02,cg2
cx09585,1976-03-10,st02,cg2
cx36305,1976-09-09,st02,cg1
cx23517,1970-10-19,st21,cg2
cx19439,1953-11-12,st04,cg1
cx04030,1963-04-02,st04,cg1
cx20402,1971-03-28,st02,cg1
cx08822,1962-05-08,st04,cg1
cx03289,1954-06-19,st04,cg1
cx29375,1973-12-20,st04,cg1
cx20278,1946-10-02,st04,cg1
cx31643,1955-01-15,st04,cg2
cx37067,1963-05-19,st04,cg1
cx34830,1982-08-10,st21,cg1
cx35795,1965-02-26,st21,cg1
cx21024,1973-03-10,st04,cg1
cx05387,1957-01-08,st02,cg2
cx18114,1976-07-13,st04,cg1
cx32137,1976-05-28,st04,cg2
cx14217,1978-08-22,st04,cg1
cx14301,1969-01-21,st04,cg1
cx10728,1967-06-11,st04,cg1
cx14914,1970-08-24,st04,cg2
cx14076,1978-01-21,st21,cg1
cx04811,1957-08-15,st04,cg1
cx21350,1972-02-16,st04,cg2
cx24380,1964-06-13,st02,cg1
cx30325,1969-09-21,st02,cg2
cx22307,1959-06-25,st04,cg1
cx01697,1979-02-11,st04,cg2
cx13788,1955-12-17,st04,cg1
cx37667,1970-11-13,st02,cg1
cx03420,1962-09-04,st21,cg1
cx23429,1980-07-21,st21,cg2
cx21633,1956-12-31,st02,cg1
cx10578,1963-03-03,st02,cg1
cx04776,1948-09-24,st04,cg1
cx18584,1973-04-02,st04,cg2
cx38269,1972-06-28,st04,cg1
cx01662,1974-05-05,st04,cg1
cx05955,1946-03-11,st04,cg1
cx02277,1970-09-20,st04,cg2
cx31700,1969-11-25,st04,cg1
cx08921,1970-06-23,st04,cg1
cx19046,1977-12-17,st04,cg2
cx35326,1968-05-14,st21,cg1
cx32337,1965-09-02,st02,cg1
cx34380,1967-08-30,st04,cg2
cx12682,1960-10-03,st04,cg1
cx04507,1963-11-16,st02,cg1
cx35404,1949-02-22,st04,cg1
cx08238,1969-06-02,st04,cg2
cx30146,1962-04-06,st04,cg1
cx09725,1967-03-23,st04,cg2
cx35902,1972-08-02,st04,cg1
cx37350,1983-01-05,st04,cg2
cx03338,1971-12-13,st02,cg2
cx20994,1969-09-09,st04,cg1
cx25300,1971-07-20,st04,cg2
cx09713,1972-06-24,st21,cg2
cx09779,1959-07-24,st02,cg1
cx02646,1978-06-14,st02,cg2
cx24303,1977-11-01,st15,cg1
cx16272,1950-09-26,st02,cg1
cx24366,1964-10-16,st04,cg1
cx01001,1975-04-23,st04,cg1
cx36505,1956-03-14,st02,cg1
cx33048,1958-12-19,st15,cg2
cx22407,1957-07-13,st15,cg1
cx10300,1962-06-24,st15,cg1
cx27184,1955-11-14,st15,cg1
cx27180,1965-06-23,st15,cg1
cx27120,1961-04-19,st21,cg2
cx28185,1969-09-25,st21,cg1
cx02449,1950-12-28,st08,cg2
cx24151,1965-07-15,st15,cg2
cx34891,1973-02-26,st15,cg2
cx16546,1968-04-08,st15,cg1
cx36718,1969-08-26,st15,cg2
cx00097,1965-03-20,st15,cg1
cx25312,1971-03-16,st15,cg2
cx18781,1971-12-27,st21,cg1
cx37455,1966-02-05,st21,cg1
cx14428,1966-04-04,st25,cg1
cx25737,1978-12-04,st15,cg2
cx07469,1979-04-08,st15,cg1
cx37958,1980-12-14,st15,cg2
cx28015,1963-04-27,st15,cg2
cx28863,1957-08-05,st15,cg2
cx14804,1954-08-13,st15,cg1
cx14742,1960-04-11,st21,cg1
cx20574,1975-03-15,st04,cg2
cx13660,1970-10-21,st02,cg1
cx14423,1970-01-17,st04,cg1
cx30782,1959-02-22,st04,cg2
cx31644,1979-09-23,st04,cg2
cx11934,1977-12-20,st04,cg1
cx11374,1981-02-06,st04,cg1
cx21646,1976-01-26,st04,cg2
cx28551,1959-10-11,st04,cg2
cx19832,1963-05-27,st15,cg2
cx31809,1976-05-17,st02,cg2
cx16307,1978-12-28,st02,cg1
cx06809,1949-06-27,st02,cg1
cx08858,1957-06-18,st04,cg1
cx12893,1975-05-12,st04,cg2
cx09737,1962-12-25,st04,cg1
cx19037,1966-02-11,st04,cg1
cx22155,1973-11-30,st04,cg1
cx29323,1957-02-13,st04,cg1
cx16672,1955-10-02,st04,cg1
cx01403,1978-01-18,st04,cg1
cx06979,1974-02-05,st04,cg1
cx00899,1962-03-11,st04,cg1
cx38545,1952-05-15,st21,cg2
cx38248,1977-05-30,st21,cg1
cx31212,1959-09-01,st15,cg1
cx27722,1966-04-23,st15,cg2
cx21586,1964-09-03,st15,cg1
cx16326,1972-05-10,st15,cg1
cx14471,1961-01-21,st04,cg1
cx33274,1975-03-05,st15,cg2
cx33232,1979-05-24,st21,cg1
cx20485,1982-08-14,st15,cg2
cx34431,1958-11-27,st15,cg1
cx19673,1968-08-09,st15,cg1
cx13506,1948-05-28,st15,cg1
cx19273,1971-06-01,st21,cg1
cx18010,1961-07-11,st15,cg1
cx37555,1953-06-02,st15,cg2
cx24968,1963-02-08,st21,cg2
cx15149,1981-03-05,st15,cg2
cx11322,1952-02-24,st15,cg2
cx04868,1970-05-27,st21,cg1
cx21742,1971-09-24,st15,cg1
cx13890,1963-06-06,st15,cg1
cx34991,1973-04-15,st15,cg1
cx17152,1966-08-19,st15,cg1
cx35782,1965-09-18,st15,cg1
cx23951,1969-01-02,st15,cg1
cx12951,1979-05-12,st21,cg2
cx38594,1954-11-13,st15,cg1
cx28481,1948-04-20,st04,cg2
cx32169,1963-01-01,st04,cg2
cx12706,1983-05-05,st04,cg1
cx29909,1982-10-11,st04,cg2
cx38175,1957-06-04,st04,cg1
cx33504,1980-08-04,st02,cg2
cx15098,1982-04-15,st02,cg1
cx09150,1973-07-26,st04,cg1
cx15823,1974-01-14,st04,cg1
cx37543,1978-08-06,st04,cg1
cx14502,1981-05-24,st02,cg1
