product_id,category_lv0,category_lv1,category_lv2,category_lv3,category_lv4
px02975,mk21,mk21:017,mk21:017:103,mk21:017:103:103,mk21:017:103:103:08940
px04899,mk11,mk11:036,mk11:036:308,mk11:036:308:103,mk11:036:308:103:01472
px01054,mk04,mk04:054,mk04:054:255,mk04:054:255:103,mk04:054:255:103:00114
px01603,mk38,mk38:072,mk38:072:362,mk38:072:362:182,mk38:072:362:182:01065
px11753,mk04,mk04:187,mk04:187:187,mk04:187:187:103,mk04:187:187:103:05689
px01733,mk11,mk11:013,mk11:013:467,mk11:013:467:103,mk11:013:467:103:06087
px07551,mk11,mk11:013,mk11:013:467,mk11:013:467:103,mk11:013:467:103:06087
px08479,mk38,mk38:072,mk38:072:322,mk38:072:322:193,mk38:072:322:193:10096
px02956,mk05,mk05:072,mk05:072:149,mk05:072:149:241,mk05:072:149:241:04585
px08208,mk44,mk44:189,mk44:189:180,mk44:189:180:016,mk44:189:180:016:10624
px06019,mk44,mk44:189,mk44:189:180,mk44:189:180:016,mk44:189:180:016:10624
px11405,mk05,mk05:072,mk05:072:149,mk05:072:149:241,mk05:072:149:241:00746
px12180,mk38,mk38:072,mk38:072:362,mk38:072:362:249,mk38:072:362:249:02641
px01218,mk04,mk04:054,mk04:054:255,mk04:054:255:103,mk04:054:255:103:05949
px02408,mk27,mk27:112,mk27:112:405,mk27:112:405:103,mk27:112:405:103:01616
px02875,mk38,mk38:072,mk38:072:151,mk38:072:151:182,mk38:072:151:182:10454
px12615,mk29,mk29:039,mk29:039:296,mk29:039:296:103,mk29:039:296:103:03912
px04360,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:03317
px00587,mk38,mk38:072,mk38:072:019,mk38:072:019:066,mk38:072:019:066:02274
px00896,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:09507
px09650,mk04,mk04:173,mk04:173:103,mk04:173:103:103,mk04:173:103:103:04973
px04618,mk29,mk29:237,mk29:237:103,mk29:237:103:103,mk29:237:103:103:04904
px04415,mk29,mk29:237,mk29:237:103,mk29:237:103:103,mk29:237:103:103:08305
px02752,mk35,mk35:072,mk35:072:113,mk35:072:113:182,mk35:072:113:182:03787
px05235,mk38,mk38:072,mk38:072:078,mk38:072:078:182,mk38:072:078:182:01414
px11331,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:06414
px08185,mk10,mk10:117,mk10:117:021,mk10:117:021:103,mk10:117:021:103:09399
px02352,mk10,mk10:117,mk10:117:021,mk10:117:021:103,mk10:117:021:103:03845
px03805,mk10,mk10:117,mk10:117:021,mk10:117:021:103,mk10:117:021:103:08828
px02634,mk04,mk04:292,mk04:292:387,mk04:292:387:103,mk04:292:387:103:00834
px05703,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:05698
px06943,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:05698
px02702,mk27,mk27:207,mk27:207:207,mk27:207:207:004,mk27:207:207:004:00661
px01409,mk27,mk27:207,mk27:207:207,mk27:207:207:004,mk27:207:207:004:01349
px02778,mk38,mk38:072,mk38:072:322,mk38:072:322:193,mk38:072:322:193:07423
px06734,mk38,mk38:072,mk38:072:322,mk38:072:322:159,mk38:072:322:159:04769
px04823,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:10429
px10887,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:10429
px08970,mk38,mk38:072,mk38:072:019,mk38:072:019:182,mk38:072:019:182:01673
px00380,mk17,mk17:196,mk17:196:029,mk17:196:029:103,mk17:196:029:103:04097
px08270,mk17,mk17:196,mk17:196:029,mk17:196:029:103,mk17:196:029:103:04097
px12253,mk29,mk29:209,mk29:209:043,mk29:209:043:095,mk29:209:043:095:08554
px01384,mk04,mk04:227,mk04:227:103,mk04:227:103:103,mk04:227:103:103:04095
px08110,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:09341
px02465,mk04,mk04:187,mk04:187:092,mk04:187:092:103,mk04:187:092:103:03114
px06960,mk27,mk27:112,mk27:112:544,mk27:112:544:103,mk27:112:544:103:01560
px02376,mk38,mk38:072,mk38:072:019,mk38:072:019:182,mk38:072:019:182:08117
px06042,mk38,mk38:072,mk38:072:322,mk38:072:322:193,mk38:072:322:193:08879
px00174,mk29,mk29:237,mk29:237:101,mk29:237:101:228,mk29:237:101:228:08867
px01609,mk38,mk38:072,mk38:072:078,mk38:072:078:218,mk38:072:078:218:06232
px11251,mk29,mk29:186,mk29:186:373,mk29:186:373:103,mk29:186:373:103:09695
px09366,mk27,mk27:112,mk27:112:544,mk27:112:544:103,mk27:112:544:103:08008
px12489,mk29,mk29:039,mk29:039:103,mk29:039:103:103,mk29:039:103:103:06901
px06311,mk29,mk29:235,mk29:235:327,mk29:235:327:103,mk29:235:327:103:08649
px01787,mk29,mk29:235,mk29:235:327,mk29:235:327:103,mk29:235:327:103:08649
px02343,mk04,mk04:007,mk04:007:491,mk04:007:491:103,mk04:007:491:103:07924
px04897,mk04,mk04:227,mk04:227:103,mk04:227:103:103,mk04:227:103:103:07108
px05999,mk04,mk04:173,mk04:173:103,mk04:173:103:103,mk04:173:103:103:07140
px03300,mk37,mk37:075,mk37:075:257,mk37:075:257:103,mk37:075:257:103:04366
px01784,mk29,mk29:155,mk29:155:157,mk29:155:157:103,mk29:155:157:103:04672
px09050,mk29,mk29:155,mk29:155:354,mk29:155:354:103,mk29:155:354:103:07667
px04031,mk29,mk29:060,mk29:060:228,mk29:060:228:097,mk29:060:228:097:08362
px11187,mk04,mk04:057,mk04:057:103,mk04:057:103:103,mk04:057:103:103:04806
px00773,mk04,mk04:057,mk04:057:103,mk04:057:103:103,mk04:057:103:103:09429
px10116,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:04818
px07090,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:04818
px01982,mk04,mk04:169,mk04:169:487,mk04:169:487:103,mk04:169:487:103:06687
px11860,mk51,mk51:184,mk51:184:412,mk51:184:412:183,mk51:184:412:183:04182
px10102,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:03938
px10329,mk10,mk10:179,mk10:179:222,mk10:179:222:103,mk10:179:222:103:04511
px08118,mk29,mk29:268,mk29:268:211,mk29:268:211:103,mk29:268:211:103:05477
px02484,mk29,mk29:268,mk29:268:211,mk29:268:211:103,mk29:268:211:103:07130
px06453,mk10,mk10:179,mk10:179:103,mk10:179:103:103,mk10:179:103:103:03092
px02448,mk29,mk29:268,mk29:268:529,mk29:268:529:103,mk29:268:529:103:04616
px09831,mk17,mk17:139,mk17:139:103,mk17:139:103:075,mk17:139:103:075:07332
px06889,mk10,mk10:018,mk10:018:508,mk10:018:508:141,mk10:018:508:141:04964
px06530,mk10,mk10:018,mk10:018:508,mk10:018:508:141,mk10:018:508:141:04964
px10190,mk04,mk04:227,mk04:227:234,mk04:227:234:103,mk04:227:234:103:05857
px11821,mk04,mk04:173,mk04:173:103,mk04:173:103:103,mk04:173:103:103:05287
px09643,mk16,mk16:145,mk16:145:294,mk16:145:294:203,mk16:145:294:203:00221
px05994,mk16,mk16:145,mk16:145:294,mk16:145:294:203,mk16:145:294:203:00221
px10253,mk16,mk16:145,mk16:145:294,mk16:145:294:203,mk16:145:294:203:09815
px05260,mk16,mk16:145,mk16:145:294,mk16:145:294:203,mk16:145:294:203:09815
px10982,mk04,mk04:227,mk04:227:103,mk04:227:103:103,mk04:227:103:103:05007
px09485,mk10,mk10:049,mk10:049:103,mk10:049:103:103,mk10:049:103:103:03645
px03426,mk10,mk10:049,mk10:049:103,mk10:049:103:103,mk10:049:103:103:03645
px10062,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:02225
px07132,mk29,mk29:241,mk29:241:249,mk29:241:249:179,mk29:241:249:179:02729
px05124,mk04,mk04:128,mk04:128:103,mk04:128:103:103,mk04:128:103:103:04478
px00539,mk29,mk29:060,mk29:060:228,mk29:060:228:160,mk29:060:228:160:04273
px11058,mk04,mk04:173,mk04:173:103,mk04:173:103:103,mk04:173:103:103:03155
px11716,mk42,mk42:085,mk42:085:065,mk42:085:065:103,mk42:085:065:103:10285
px06587,mk42,mk42:085,mk42:085:065,mk42:085:065:103,mk42:085:065:103:09637
px10101,mk37,mk37:033,mk37:033:103,mk37:033:103:103,mk37:033:103:103:02688
px10632,mk29,mk29:155,mk29:155:340,mk29:155:340:245,mk29:155:340:245:01935
px10014,mk29,mk29:155,mk29:155:340,mk29:155:340:103,mk29:155:340:103:02176
px02953,mk38,mk38:072,mk38:072:185,mk38:072:185:182,mk38:072:185:182:08297
px07068,mk35,mk35:222,mk35:222:533,mk35:222:533:182,mk35:222:533:182:00078
px09189,mk05,mk05:072,mk05:072:322,mk05:072:322:182,mk05:072:322:182:09390
px06194,mk41,mk41:160,mk41:160:117,mk41:160:117:103,mk41:160:117:103:02072
px07603,mk41,mk41:160,mk41:160:117,mk41:160:117:103,mk41:160:117:103:02472
px03586,mk06,mk06:214,mk06:214:341,mk06:214:341:103,mk06:214:341:103:06948
px07793,mk04,mk04:173,mk04:173:103,mk04:173:103:103,mk04:173:103:103:06113
px00451,mk04,mk04:292,mk04:292:387,mk04:292:387:103,mk04:292:387:103:02214
px12043,mk22,mk22:100,mk22:100:277,mk22:100:277:103,mk22:100:277:103:04947
px03083,mk38,mk38:072,mk38:072:149,mk38:072:149:249,mk38:072:149:249:05012
px12612,mk29,mk29:155,mk29:155:340,mk29:155:340:103,mk29:155:340:103:01929
px06827,mk29,mk29:155,mk29:155:103,mk29:155:103:103,mk29:155:103:103:05862
px10275,mk27,mk27:182,mk27:182:245,mk27:182:245:103,mk27:182:245:103:06152
px03939,mk29,mk29:155,mk29:155:157,mk29:155:157:103,mk29:155:157:103:01963
px08635,mk29,mk29:039,mk29:039:296,mk29:039:296:103,mk29:039:296:103:03056
px06389,mk44,mk44:076,mk44:076:288,mk44:076:288:122,mk44:076:288:122:09309
px12099,mk04,mk04:287,mk04:287:103,mk04:287:103:103,mk04:287:103:103:01645
px08096,mk29,mk29:237,mk29:237:306,mk29:237:306:228,mk29:237:306:228:03368
px05768,mk41,mk41:160,mk41:160:117,mk41:160:117:103,mk41:160:117:103:08184
px08301,mk41,mk41:160,mk41:160:117,mk41:160:117:103,mk41:160:117:103:05103
px06672,mk11,mk11:036,mk11:036:332,mk11:036:332:103,mk11:036:332:103:01500
px04095,mk37,mk37:077,mk37:077:103,mk37:077:103:103,mk37:077:103:103:02122
px09568,mk37,mk37:077,mk37:077:103,mk37:077:103:103,mk37:077:103:103:04266
px02216,mk06,mk06:090,mk06:090:535,mk06:090:535:103,mk06:090:535:103:08290
px09921,mk06,mk06:090,mk06:090:535,mk06:090:535:103,mk06:090:535:103:06112
px02955,mk06,mk06:090,mk06:090:535,mk06:090:535:103,mk06:090:535:103:09471
px02999,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:06301
px10436,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:06301
px11238,mk10,mk10:086,mk10:086:288,mk10:086:288:263,mk10:086:288:263:03366
px00938,mk04,mk04:218,mk04:218:402,mk04:218:402:162,mk04:218:402:162:05256
px08292,mk04,mk04:292,mk04:292:246,mk04:292:246:103,mk04:292:246:103:05538
px07977,mk10,mk10:117,mk10:117:021,mk10:117:021:131,mk10:117:021:131:04048
px02271,mk10,mk10:117,mk10:117:021,mk10:117:021:131,mk10:117:021:131:08840
px00654,mk10,mk10:086,mk10:086:288,mk10:086:288:103,mk10:086:288:103:01591
px11300,mk10,mk10:086,mk10:086:288,mk10:086:288:263,mk10:086:288:263:02671
px10630,mk10,mk10:086,mk10:086:288,mk10:086:288:263,mk10:086:288:263:02671
px02125,mk42,mk42:085,mk42:085:065,mk42:085:065:103,mk42:085:065:103:02773
px08210,mk50,mk50:267,mk50:267:103,mk50:267:103:103,mk50:267:103:103:07899
px09301,mk51,mk51:140,mk51:140:298,mk51:140:298:103,mk51:140:298:103:10214
px06662,mk04,mk04:187,mk04:187:103,mk04:187:103:103,mk04:187:103:103:07601
px00291,mk27,mk27:207,mk27:207:103,mk27:207:103:103,mk27:207:103:103:02224
px06923,mk10,mk10:117,mk10:117:103,mk10:117:103:131,mk10:117:103:131:00416
px00397,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:05509
px08452,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:05509
px04609,mk10,mk10:117,mk10:117:021,mk10:117:021:045,mk10:117:021:045:00255
px08870,mk16,mk16:024,mk16:024:006,mk16:024:006:103,mk16:024:006:103:02081
px02537,mk29,mk29:060,mk29:060:228,mk29:060:228:103,mk29:060:228:103:03197
px09089,mk29,mk29:060,mk29:060:228,mk29:060:228:103,mk29:060:228:103:05328
px08880,mk29,mk29:060,mk29:060:228,mk29:060:228:103,mk29:060:228:103:06947
px09795,mk33,mk33:197,mk33:197:056,mk33:197:056:182,mk33:197:056:182:08325
px11514,mk33,mk33:197,mk33:197:056,mk33:197:056:182,mk33:197:056:182:01296
px08664,mk29,mk29:060,mk29:060:542,mk29:060:542:103,mk29:060:542:103:10660
px05900,mk29,mk29:183,mk29:183:195,mk29:183:195:103,mk29:183:195:103:05969
px06746,mk29,mk29:060,mk29:060:228,mk29:060:228:103,mk29:060:228:103:08490
px09964,mk29,mk29:183,mk29:183:359,mk29:183:359:103,mk29:183:359:103:06964
px03161,mk29,mk29:186,mk29:186:422,mk29:186:422:103,mk29:186:422:103:08537
px07478,mk29,mk29:186,mk29:186:087,mk29:186:087:103,mk29:186:087:103:06545
px10635,mk16,mk16:008,mk16:008:376,mk16:008:376:136,mk16:008:376:136:02495
px07657,mk16,mk16:008,mk16:008:376,mk16:008:376:136,mk16:008:376:136:02495
px08936,mk16,mk16:008,mk16:008:376,mk16:008:376:136,mk16:008:376:136:05783
px03081,mk16,mk16:008,mk16:008:376,mk16:008:376:136,mk16:008:376:136:05783
px03127,mk11,mk11:036,mk11:036:332,mk11:036:332:103,mk11:036:332:103:01500
px11410,mk25,mk25:067,mk25:067:401,mk25:067:401:103,mk25:067:401:103:03486
px09309,mk25,mk25:067,mk25:067:401,mk25:067:401:103,mk25:067:401:103:03486
px03316,mk04,mk04:227,mk04:227:447,mk04:227:447:187,mk04:227:447:187:02948
px01624,mk25,mk25:281,mk25:281:103,mk25:281:103:103,mk25:281:103:103:00714
px05588,mk29,mk29:081,mk29:081:477,mk29:081:477:103,mk29:081:477:103:09080
px07448,mk29,mk29:039,mk29:039:147,mk29:039:147:103,mk29:039:147:103:05184
px03412,mk29,mk29:039,mk29:039:103,mk29:039:103:103,mk29:039:103:103:05205
px08614,mk16,mk16:008,mk16:008:376,mk16:008:376:200,mk16:008:376:200:01690
px06685,mk16,mk16:008,mk16:008:376,mk16:008:376:200,mk16:008:376:200:01690
px05872,mk33,mk33:197,mk33:197:056,mk33:197:056:182,mk33:197:056:182:02334
px06385,mk16,mk16:053,mk16:053:222,mk16:053:222:034,mk16:053:222:034:09420
px03099,mk16,mk16:053,mk16:053:222,mk16:053:222:034,mk16:053:222:034:09420
px02523,mk16,mk16:053,mk16:053:489,mk16:053:489:034,mk16:053:489:034:02065
px04128,mk16,mk16:053,mk16:053:489,mk16:053:489:034,mk16:053:489:034:02065
px08028,mk17,mk17:217,mk17:217:314,mk17:217:314:126,mk17:217:314:126:06260
px00219,mk25,mk25:130,mk25:130:289,mk25:130:289:018,mk25:130:289:018:07492
px05059,mk25,mk25:130,mk25:130:289,mk25:130:289:018,mk25:130:289:018:07492
px12484,mk29,mk29:268,mk29:268:529,mk29:268:529:103,mk29:268:529:103:05890
px11148,mk25,mk25:219,mk25:219:175,mk25:219:175:099,mk25:219:175:099:01423
px12039,mk17,mk17:139,mk17:139:103,mk17:139:103:103,mk17:139:103:103:02963
px00354,mk17,mk17:139,mk17:139:103,mk17:139:103:103,mk17:139:103:103:02963
px02013,mk44,mk44:189,mk44:189:180,mk44:189:180:103,mk44:189:180:103:10338
px05690,mk44,mk44:189,mk44:189:180,mk44:189:180:103,mk44:189:180:103:10338
px05096,mk17,mk17:196,mk17:196:359,mk17:196:359:103,mk17:196:359:103:03448
px00051,mk17,mk17:196,mk17:196:359,mk17:196:359:103,mk17:196:359:103:03448
px03106,mk10,mk10:086,mk10:086:288,mk10:086:288:103,mk10:086:288:103:04529
px04994,mk20,mk20:101,mk20:101:165,mk20:101:165:103,mk20:101:165:103:02669
px02392,mk29,mk29:237,mk29:237:101,mk29:237:101:103,mk29:237:101:103:09579
px07504,mk44,mk44:189,mk44:189:552,mk44:189:552:103,mk44:189:552:103:05576
px10064,mk08,mk08:022,mk08:022:014,mk08:022:014:103,mk08:022:014:103:07902
px11290,mk08,mk08:022,mk08:022:014,mk08:022:014:103,mk08:022:014:103:08581
px07702,mk04,mk04:128,mk04:128:103,mk04:128:103:103,mk04:128:103:103:10190
px04011,mk22,mk22:001,mk22:001:205,mk22:001:205:103,mk22:001:205:103:10201
px07149,mk25,mk25:215,mk25:215:103,mk25:215:103:103,mk25:215:103:103:04736
px02914,mk29,mk29:268,mk29:268:211,mk29:268:211:103,mk29:268:211:103:07621
px11066,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:06652
px10118,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:00645
px11826,mk36,mk36:151,mk36:151:388,mk36:151:388:103,mk36:151:388:103:05159
px07507,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:04363
px03873,mk11,mk11:013,mk11:013:037,mk11:013:037:150,mk11:013:037:150:04363
px02656,mk10,mk10:117,mk10:117:021,mk10:117:021:045,mk10:117:021:045:03216
px07915,mk17,mk17:052,mk17:052:103,mk17:052:103:103,mk17:052:103:103:02942
px08863,mk04,mk04:057,mk04:057:435,mk04:057:435:044,mk04:057:435:044:04208
px03446,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:10280
px09060,mk10,mk10:066,mk10:066:288,mk10:066:288:263,mk10:066:288:263:10280
px05636,mk04,mk04:187,mk04:187:092,mk04:187:092:103,mk04:187:092:103:07735
px01936,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:06131
px01576,mk10,mk10:179,mk10:179:222,mk10:179:222:103,mk10:179:222:103:00469
px04697,mk10,mk10:179,mk10:179:222,mk10:179:222:103,mk10:179:222:103:00469
px02555,mk10,mk10:179,mk10:179:222,mk10:179:222:103,mk10:179:222:103:01546
px01403,mk10,mk10:179,mk10:179:222,mk10:179:222:103,mk10:179:222:103:01546
px09022,mk29,mk29:241,mk29:241:482,mk29:241:482:103,mk29:241:482:103:05912
px02583,mk28,mk28:010,mk28:010:103,mk28:010:103:103,mk28:010:103:103:00067
px10655,mk28,mk28:010,mk28:010:103,mk28:010:103:103,mk28:010:103:103:01408
px00750,mk25,mk25:067,mk25:067:493,mk25:067:493:103,mk25:067:493:103:09328
px08340,mk04,mk04:074,mk04:074:103,mk04:074:103:103,mk04:074:103:103:04348
px10000,mk51,mk51:140,mk51:140:110,mk51:140:110:103,mk51:140:110:103:03548
px00994,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:07052
px05965,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:08564
px10564,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:00528
px03887,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:06812
px01956,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:07851
px12618,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:00169
px09860,mk17,mk17:208,mk17:208:103,mk17:208:103:103,mk17:208:103:103:02410
px05225,mk22,mk22:001,mk22:001:205,mk22:001:205:103,mk22:001:205:103:05528
px06352,mk17,mk17:052,mk17:052:333,mk17:052:333:265,mk17:052:333:265:08921
px06394,mk17,mk17:052,mk17:052:333,mk17:052:333:265,mk17:052:333:265:08921
px06924,mk17,mk17:139,mk17:139:103,mk17:139:103:075,mk17:139:103:075:04018
px10992,mk16,mk16:008,mk16:008:516,mk16:008:516:136,mk16:008:516:136:08986
px11543,mk37,mk37:030,mk37:030:452,mk37:030:452:103,mk37:030:452:103:09640
px07771,mk37,mk37:136,mk37:136:103,mk37:136:103:103,mk37:136:103:103:08510
px11566,mk37,mk37:136,mk37:136:103,mk37:136:103:103,mk37:136:103:103:05680
px11947,mk17,mk17:202,mk17:202:375,mk17:202:375:105,mk17:202:375:105:09123
px04140,mk17,mk17:202,mk17:202:375,mk17:202:375:105,mk17:202:375:105:09123
px05083,mk36,mk36:151,mk36:151:441,mk36:151:441:103,mk36:151:441:103:02788
px02715,mk29,mk29:102,mk29:102:216,mk29:102:216:118,mk29:102:216:118:09614
px05404,mk36,mk36:277,mk36:277:428,mk36:277:428:103,mk36:277:428:103:10278
px08586,mk29,mk29:235,mk29:235:327,mk29:235:327:103,mk29:235:327:103:05079
px07949,mk37,mk37:030,mk37:030:103,mk37:030:103:103,mk37:030:103:103:02935
px04098,mk04,mk04:007,mk04:007:491,mk04:007:491:103,mk04:007:491:103:08966
px01513,mk11,mk11:013,mk11:013:103,mk11:013:103:103,mk11:013:103:103:04142
px09138,mk37,mk37:033,mk37:033:103,mk37:033:103:103,mk37:033:103:103:04199
px09941,mk37,mk37:033,mk37:033:103,mk37:033:103:103,mk37:033:103:103:04199
px04815,mk29,mk29:186,mk29:186:087,mk29:186:087:103,mk29:186:087:103:02750
px05246,mk22,mk22:001,mk22:001:391,mk22:001:391:103,mk22:001:391:103:05656
px00150,mk03,mk03:291,mk03:291:391,mk03:291:391:103,mk03:291:391:103:00322
px02233,mk03,mk03:291,mk03:291:391,mk03:291:391:103,mk03:291:391:103:07406
px02103,mk03,mk03:291,mk03:291:531,mk03:291:531:103,mk03:291:531:103:08650
px02088,mk04,mk04:292,mk04:292:387,mk04:292:387:103,mk04:292:387:103:06607
px06881,mk22,mk22:168,mk22:168:292,mk22:168:292:103,mk22:168:292:103:08449
px03657,mk29,mk29:235,mk29:235:115,mk29:235:115:103,mk29:235:115:103:03579
px10994,mk20,mk20:101,mk20:101:186,mk20:101:186:196,mk20:101:186:196:08652
px07273,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:09961
px05894,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:02003
px00201,mk28,mk28:051,mk28:051:103,mk28:051:103:103,mk28:051:103:103:01096
px07498,mk10,mk10:231,mk10:231:222,mk10:231:222:103,mk10:231:222:103:06463
px12552,mk36,mk36:151,mk36:151:388,mk36:151:388:103,mk36:151:388:103:06977
px00252,mk51,mk51:140,mk51:140:091,mk51:140:091:103,mk51:140:091:103:07813
